ser, X:soy:eres:es:somos:sois:son, X:fui:fuiste:fue:fuimos:fuisteis:fueron, X:era:eras:era:éramos:erais:eran
haber, X:he:has:ha:hemos:habéis:han, hub, .
estar, X:estoy:estás:está:estamos:estáis:están, estuv, .
tener, go/ie, tuv, .
hacer, 1-hago, X:hice:hiciste:hizo:hicimos:hicisteis:hicieron, .
poder, ue, pud, .
decir, X:digo:dices:dice:decimos:decís:dicen, dij, .
ir, X:voy:vas:va:vamos:vais:van, X:fui:fuiste:fue:fuimos:fuisteis:fueron, X:iba:ibas:iba:íbamos:ibais:iban
ver, 1-veo, X:vi:viste:vio:vimos:visteis:vieron, X:veía:veías:veía:veíamos:veíais:veían
dar, X:doy:das:da:damos:dais:dan, X:di:diste:dio:dimos:disteis:dieron, .
saber, 1-sé, sup, .
querer, ie, quis, .
llegar, ., gar, .
pasar, ., ., .
deber, ., ., .
poner, 1-pongo, pus, .
parecer, 1-parezco, ., .
quedar, ., ., .
creer, ., W, .
hablar, ., ., .
